category,mean,median,std,count,sum
Transferência - PIX,482.7487894736842,62.5,2071.3497866155503,190,91722.27
Transferência - Câmbio,2098.8900000000003,1000.0,2471.3805116382346,20,41977.8
Transferência - TED,96.62,96.62,70.39955113493268,2,193.24
Juros de rendimentos de dividendos,0.01,0.01,0.0,4,0.04
Impostos sobre operações financeiras,-0.32,-0.32,,1,-0.32
Salário,-0.4,-0.4,,1,-0.4
Atraso no pagamento e custos de cheque especial,-1.7,-1.7,,1,-1.7
Transporte,-6.67,-6.67,,1,-6.67
Transporte público,-10.4,-10.4,,1,-10.4
Transferência - Dinheiro,-14.0,-14.0,90.50966799187809,2,-28.0
Bem-estar,-90.0,-90.0,,1,-90.0
Utensílios para casa,-94.93,-94.93,,1,-94.93
Saúde,-100.0,-100.0,,1,-100.0
Jogos e videogames,-146.0,-146.0,,1,-146.0
Transferências,-78.85,-78.85,49.28534264870236,2,-157.7
Papelaria,-82.0,-82.0,96.02510088513316,2,-164.0
Estacionamentos,-18.666666666666668,-16.0,6.855654600401045,9,-168.0
Compras online,-48.5,-25.5,53.91660226683428,4,-194.0
Passagem de ônibus,-211.8,-211.8,,1,-211.8
Bilhetes,-213.18,-213.18,,1,-213.18
Aeroportos e cias. aéreas,-250.0,-250.0,,1,-250.0
Educação,-259.5,-259.5,,1,-259.5
Transferência para terceiros - Débito,-52.2,-45.0,24.09771773425857,5,-261.0
"Cinema, Teatro e Concertos",-154.075,-154.075,182.17192003709025,2,-308.15
Alimentos e bebidas,-108.86333333333333,-14.99,165.53788700274427,3,-326.59
Táxi e transporte privado urbano,-23.677647058823528,-14.6,36.35683507426969,17,-402.52
Pet Shops e veterinários,-104.7625,-96.5,32.51232420175464,4,-419.05
Seguros,-53.80181818181818,-31.98,57.0572326384976,11,-591.8199999999999
Serviços automotivos,-226.27666666666667,-77.93,307.65768742765607,3,-678.83
Lazer,-270.0,-168.0,208.62406380856453,3,-810.0
Celular,-116.05428571428571,-110.61,12.552891907369208,7,-812.38
Farmácia,-60.54571428571428,-48.879999999999995,53.877845841565275,14,-847.64
Universidade,-858.56,-858.56,,1,-858.56
Transferência para terceiros - PIX,-122.87142857142858,-300.0,449.31286321183717,7,-860.1
Transferência mesma titularidade - Dinheiro,-403.3333333333333,-150.0,518.684232778801,3,-1210.0
Dentista,-1218.79,-1218.79,,1,-1218.79
Telecomunicação,-87.89428571428572,-81.19,61.802198829975126,14,-1230.52
Hospedagem,-1276.77,-1276.77,,1,-1276.77
Serviços digitais,-71.17666666666666,-44.98,74.79515347489657,21,-1494.71
Pedágios e pagamentos no veículo,-166.351,-18.3,284.16133865777334,10,-1663.51
Delivery de alimentos,-76.40045454545454,-86.975,186.74929704660897,22,-1680.81
Vestiário,-566.4375,-586.925,434.15157371398914,4,-2265.75
Postos de gasolina,-138.4886956521739,-145.33,75.11865676165868,23,-3185.24
Livraria,-1630.855,-1630.855,2243.5861770946085,2,-3261.71
Investimentos,-72.98942857142858,-33.75,118.57895209870998,70,-5109.26
Aluguel de veículos,-2845.0400000000004,-2845.0400000000004,3710.571118547656,2,-5690.080000000001
"Restaurantes, bares e lanchonetes",-99.50612903225807,-54.055,109.77005302971757,62,-6169.38
Serviços,-220.33486486486484,-54.0,666.6074687534621,37,-8152.389999999999
Supermercado,-236.13514285714285,-69.9,499.49910828614645,35,-8264.73
Compras,-116.25315789473684,-40.0,282.2377820075856,76,-8835.24
Transferência mesma titularidade,-482.2587121212121,-55.114999999999995,2153.2111963941106,132,-63658.15
